[INFO ] 2021-05-10 05:40:35.563 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 05:42:09.905 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 05:45:53.135 [SpringContextShutdownHook] CacheSupport - in PreDestroy
[INFO ] 2021-05-10 05:52:17.345 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 05:52:55.777 [SpringContextShutdownHook] CacheSupport - in PreDestroy
[INFO ] 2021-05-10 05:54:11.207 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 05:54:40.039 [SpringContextShutdownHook] CacheSupport - in PreDestroy
[INFO ] 2021-05-10 05:56:12.389 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 05:57:41.894 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 05:59:55.209 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 06:07:36.092 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 09:13:22.091 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693543
[INFO ] 2021-05-10 09:13:22.098 [http-nio-8881-exec-7] ReportApi - Receiving data from an external api:https://ygibdd.ru/parserapi/v1/gibdd/, vin:2C4GJ453XYR693543 
[INFO ] 2021-05-10 09:13:24.505 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693543
[INFO ] 2021-05-10 09:13:24.505 [http-nio-8881-exec-5] ReportApi - Receiving data from an external api:https://ygibdd.ru/parserapi/v1/gibdd/, vin:2C4GJ453XYR693543 
[INFO ] 2021-05-10 09:15:27.634 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693543
[INFO ] 2021-05-10 09:15:39.127 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:16:39.646 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:16:52.773 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:17:02.461 [http-nio-8881-exec-6] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:17:36.529 [main] CacheSupport - in postconstruct
[INFO ] 2021-05-10 09:18:29.542 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:24:57.819 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:30:18.105 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:30:30.260 [http-nio-8881-exec-1] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:30:40.014 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:30:46.152 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:43:32.228 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:43:43.616 [http-nio-8881-exec-4] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:44:09.424 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:44:14.540 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:44:26.110 [http-nio-8881-exec-5] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:44:38.792 [http-nio-8881-exec-3] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:46:38.810 [http-nio-8881-exec-8] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:47:31.918 [http-nio-8881-exec-2] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:47:54.852 [http-nio-8881-exec-9] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:51:55.338 [http-nio-8881-exec-7] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
[INFO ] 2021-05-10 09:52:42.892 [http-nio-8881-exec-10] ApiServiceImpl - in getTaxiInfo vin2C4GJ453XYR693697
